country,UN_region,year,Percapita_GDP per,carbon,populations
Afghanistan,Middle East/Central Asia,2016,$614.66 ,0.18,29.82
Albania,Northern/Eastern Europe,2016,"$4,534.37 ",0.87,3.16
Algeria,Africa,2016,"$5,430.57 ",1.14,38.48
Angola,Africa,2016,"$4,665.91 ",0.2,20.82
Antigua and Barbuda,Latin America,2016,"$13,205.10 ",Not Reported,0.09
Argentina,Latin America,2016,"$13,540.00 ",1.08,41.09
Armenia,Middle East/Central Asia,2016,"$3,426.39 ",0.89,2.97
Aruba,Latin America,2016,Not Reported,Not Reported,0.1
Australia,Asia-Pacific,2016,"$66,604.20 ",4.85,23.05
Austria,European Union,2016,"$51,274.10 ",4.14,8.46
Azerbaijan,Middle East/Central Asia,2016,"$7,106.04 ",1.25,9.31
Bahamas,Latin America,2016,"$22,647.30 ",4.46,0.37
Bahrain,Middle East/Central Asia,2016,"$24,299.00 ",6.19,1.32
Bangladesh,Asia-Pacific,2016,$857.50 ,0.26,154.7
Barbados,Latin America,2016,"$15,722.80 ",3.28,0.28
Belarus,Northern/Eastern Europe,2016,"$6,300.45 ",2.57,9.4
Belgium,European Union,2016,"$48,053.30 ",4.43,11.06
Benin,Africa,2016,$746.83 ,0.51,10.05
Bermuda,North America,2016,"$70,626.30 ",Not Reported,0.06
Bhutan,Asia-Pacific,2016,"$2,395.00 ",0.63,0.74
Bolivia,Latin America,2016,"$2,253.09 ",0.67,10.5
Bosnia and Herzegovina,Northern/Eastern Europe,2016,"$4,708.85 ",1.74,3.83
Botswana,Africa,2016,"$7,743.50 ",2.36,2
Brazil,Latin America,2016,"$13,237.60 ",0.91,198.66
British Virgin Islands,Latin America,2016,Not Reported,Not Reported,0.03
Brunei Darussalam,Asia-Pacific,2016,"$47,097.40 ",3.24,0.41
Bulgaria,European Union,2016,"$7,615.28 ",2.08,7.28
Burkina Faso,Africa,2016,$671.07 ,0.12,16.46
Burundi,Africa,2016,$276.69 ,0.04,9.85
Cabo Verde,Africa,2016,"$3,801.45 ",Not Reported,0.49
Cambodia,Asia-Pacific,2016,$877.64 ,Not Reported,14.86
